preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 450.000,Rua Afonso Pena 1797,"Cidade Nova, Franca","250 m² tot.
3 quartos
3 ban.
1 vaga","03 Dormitórios, sendo 01 suíte. Salas Amplas 02 Ambientes. Cozinha Planejada. Armários. Cômodo de Despejo. Área de Serviço. Portão Eletrônico/Interfone. 01 Vaga"
R$ 650.000,Endereço não informado,"Jardim Riviera, Franca","100 m² tot.
1 quarto
4 ban.","Vende-se Jardim Riveira - Comodo Comercial com Casa Cômodo Comercial - Otimo comodo comercial, mezanino, 2 banheiros, piso de cerâmica, 2 portas de enrolar e Casa com 1 dormitório sendo suíte, sala de tv, sala de jantar, cozinha com armário e churrasqueira na varanda, varanda ampla, box, 4 vagas, quintal cimentado/jardinado, lajotado, piso de cerâmica, pintura nova, portão eletrônico, terreno com 250mts2 e aprox 110mts2 de construção, imóveis de fino acabamento, agradável, excelente localização, próximo a Av. Adhemar Pereira de Barros."
R$ 2.200.000,Endereço não informado,"Parque Universitário, Franca","327 m² tot.
3 quartos
3 ban.
2 vagas","Sobrado em condomínio fechado&#xD; &#xD; Sobrado com 3 suítes&#xD; &#xD; Documentação pronta para financiamento. &#xD; &#xD; Vista linda para a zona rural, livre e definitiva, sem vizinhos de frente. &#xD; &#xD; O imóvel conta com: &#xD; 327, 00 metros de terreno. &#xD; 217, 00 metros de construção. &#xD; &#xD; -3 suítes, sendo duas no pavimento térreo, e uma no pavimento superior. &#xD; &#xD; -Escritório. &#xD; &#xD; -Persianas automatizadas. &#xD; -Pré instalação de ar condicionado em 8 cômodos. &#xD; -Marcenaria completa. &#xD; -Todas as bancadas em quartzito Mont Blanc(branco e cinza). &#xD; -Torneiras monocomando e louças deca. &#xD; -4 pontos preparados para instalação de câmera. &#xD; -Cabeamento de internet com fio já instalado em toda casa. &#xD; -todos os espelhos com led frontal e touch. &#xD; -Portas Pormade. &#xD; &#xD; -sala e lavabo. &#xD; &#xD; -cozinha principal com ilha, forno, microondas, cooktop, depurador. &#xD; &#xD; -Área gourmet completa, com lavabo, sala de jogos, churrasqueira, armários planejados, cooktop, forno; (possibilidade de instalar uma porta, separando os ambientes). &#xD; &#xD; -Piscina grande aquecida com led e hidromassagem. &#xD; -Duchas;&#xD; -esquadrias em alumínio com vidro reflecta;&#xD; -Lavanderia com aquecimento&#xD; -toda a casa com encanamento tigre( 80 anos de garantia). &#xD; - Boiler de aquecimento com tubo à vácuo. &#xD; &#xD; -todos os banheiros com espelhos de led frontal e touch e box. &#xD; -Paisagismo;&#xD; -Garagem para 2 carros grandes;&#xD; -Aceita financiamento. &#xD; &#xD; Entre em contato&#xD; &#xD; João Paulo&#xD; 16 Ver dados - 31/08/2025"
R$ 769.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
3 quartos
4 ban.
2 vagas","Vende casa na esplanada primo meneghet ii. &#xD; *documentação pronta, aceita financiamento! *&#xD; Terreno: 200m2 &#xD; Casa: 157m2&#xD; Construída com tijolo estrutural. &#xD; *Fino acabamento* porcelanato, mármore s. Gabriel, lavatorios. Esculpidos, nichos, esquadrias em alumínio, blindex, &#xD; metais ( torneiras monocomando) . &#xD; bramato/arenito/&#xD; pedra ferro, &#xD; gesso 3d, sancas, &#xD; iluminação com spots, leds, pendentes, arandelas, lustres, plafons, etc. &#xD; *distribuição: *&#xD; 3 suítes. sendo: &#xD; *1 suíte Master* casal (quarto amplo, closet, bho e jardim De inverno) . &#xD; *1 suíte casal* (quarto e banheiro) . &#xD; *1 suíte solteiro* (quarto e banheiro) . &#xD; 1banheiro social (total: *4 banheiros Com box e armarios tamponado*) &#xD; 1sala tv (pé direito 4 mt com painel 3D e teto rebaixado iluminação com led, plafon e sanca com fita led) . &#xD; 1 sala de jantar (pé direito de 4mt, teto rebaixado e lustre) . &#xD; 1 cozinha ampla' pé direito de 4mt (*com ilha, teto rebaixado, revestimento calacata e armario tamponado na pia*) . &#xD; área de claridade ampla (sendo um corredor lateral, otimo pra quem tem pets) . &#xD; 4 pré pontos pra ar condicionado (3 quartos e sala) . &#xD; 1 área de serviço (com espaço pra mini dispensa) . &#xD; *espaço gourmet com armário tamponado na pia*) &#xD; 1 garagem coberta pra 2 carros (entrada pra um terceiro) . &#xD; 1 piscina completa (cascata, iluminação, hidromassagem, ducha, aquecimento e elevado com mini jardim) . &#xD; Esquadria/blindex (divisória de correr entre garagem e piscina) . &#xD; água quente (pia cozinha, pia espaço Gourmet, 4 chuveiros e 4 lavatorios) &#xD; segurança (cerca eletrica) . - 31/08/2025"
R$ 380.000,Franca 2030,"Franca Pólo Club, Franca","125 m² tot.
2 quartos
2 ban.
2 vagas","2 quartos, 1 banheiro. Sala, cozinha e copa integradas. Lavanderia coberta. Garagem coberta para 2 carros. Acabamento de qualidade: porcelanato, pedras finas, Blindex. Segurança completa: câmeras, sensores, cerca e alarme. Jardim interno e externo, com telas mosqueteiras. Rua tranquila, sem vizinhos na frente. Projeto aprovado para sobrado. Infraestrutura para água quente. Imóvel quitado e iptu pago – pronto para morar"
R$ 370.000,Franca 900,"Jardim Consolação, Franca","49 m² tot.
2 quartos
1 banheiro
1 vaga","Apartamento mobiliado – centro, franca/sp. • 2 quartos, sendo 1 demisuíte. • Cozinha e área social integradas. • Recém reformado e mobiliado. • 1 vaga de garagem coberta + vaga rotativa para moto. • Condomínio: R$ 350, 00 (incluso água e gás) • Aceita financiamento. • Estuda Permuta"
R$ 500.000,Endereço não informado,"São Joaquim, Franca","105 m² tot.
3 quartos
2 ban.
3 vagas","Lindo apartamento, com excelente localização. &#xD; &#xD; *Apartamento será entregue completo, com todos os móveis, eletrodomésticos, conforme constam nas imagens*&#xD; 3 dormitórios, sendo 1 suíte;&#xD; Ar condicionado em todos os dormitórios e sala;&#xD; Rico em armários nos dormitórios, sala, sala de jantar, cozinha, banheiros e área de serviço;&#xD; Varanda gourmet;&#xD; Teto retrátil na varanda gourmet;&#xD; 2 vagas na garagem; - 31/08/2025"
R$ 470.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
3 quartos
2 ban.
4 vagas","**Casa moderna com 3 quartos (1 suíte) , terreno de 200m² Amplo espaço e excelente acabamento! **&#xD; &#xD; Descubra esta linda casa com **projeto moderno**, pensada para oferecer conforto, praticidade e estilo! São **3 quartos**, sendo **1 suíte espaçosa**, ambientes bem distribuídos, ótima iluminação natural e um acabamento de alto padrão que valoriza cada detalhe. &#xD; &#xD; Localizada em um terreno de **200m²**, essa casa se destaca pelo **espaço interno amplo** e a área externa perfeita para quem busca qualidade de vida. &#xD; &#xD; 3 dormitórios (1 suíte) &#xD; Projeto moderno e funcional&#xD; Ampla sala de estar e jantar&#xD; Cozinha integrada&#xD; Ótimo acabamento&#xD; Terreno com 200m²&#xD; Pronta para morar! &#xD; &#xD; Ideal para famílias que desejam conforto e modernidade em um só lugar. Não perca essa oportunidade de morar bem! &#xD; &#xD; Agende uma visita com um consultor sold e surpreenda-se! &#xD; &#xD; vemprasold - 31/08/2025"
R$ 400.000,Endereço não informado,"São Joaquim, Franca","87 m² tot.
3 quartos
1 banheiro
2 vagas","vende-se lindo apartamento no bairro são joaquim! Térreo é perfeito para você e sua família! Com 86, 34 m² de área útil. O imóvel conta com: - 03 dormitórios com ar-condicionado, sendo 01 suíte; - 01 banheiro social com armários; - Sala de tv aconchegante; - Cozinha com armários planejados; - Sala de Jantar integrada; -Área de serviço; - 02 vagas de garagem. Além disso, o imóvel será vendido com os seguintes itens: fogão, forno, coifa, micro-ondas e cortinas, trazendo muito mais praticidade e conforto para o seu dia a dia! A localização excelente, em um bairro tranquilo. Não perca essa chance de conquistar o seu novo lar! Agende uma visita."
R$ 380.000,Endereço não informado,"Parque Residencial Nova Franca, Franca","211 m² tot.
3 quartos
3 ban.
4 vagas",Sobrado em excelente localização&#xD; 3 dormitórios sendo 2 suítes&#xD; Banheiro social&#xD; Lavabo&#xD; Sala espaçosa&#xD; Cozinha ampla&#xD; Lavanderia&#xD; Varanda &#xD; Quintal &#xD; 4 vagas de garagem sendo 2 cobertas&#xD; 210 metros de terreno&#xD; 147 metros de área construída&#xD; &#xD; Agende uma visita e conheça e maravilhoso imóvel&#xD; &#xD; João Paulo&#xD; (16) Ver dados - 31/08/2025
R$ 390.000,Endereço não informado,"Jardim Francano, Franca","4999 m² tot.
3 quartos
2 ban.
2 vagas","Vende-se Apartamento no Jardim Francano com 3 dormitorios sendo 1 suite com aramrios, sacada no andar superior com vista, cozinha polanejdas com armarios, banheirosa com armarios, 2 vagas de garagem."
R$ 1.900.000,Rua Vintino Seraphim,"Jardim Santana, Franca","294 m² tot.
3 quartos
4 ban.
3 vagas","Apresentamos esta incrível residência de alto padrão, projetada para quem busca conforto, sofisticação e tecnologia em um só lugar. Com 294m² de terreno e 230m² de construção, esta casa foi pensada em cada detalhe para oferecer funcionalidade, privacidade e lazer para toda a família. 3 suítes espaçosas, com excelente iluminação natural. Escritório reservado, ideal para home office. Cozinha integrada à sala de jantar e estar. Piscina central com iluminação, hidro e aquecimento. Ambientes com acabamento em madeira, régua de concreto e ripados de alumínio. Automação residencial completa e sistema de som embutido. Aquecimento solar. Pré-instalação para carregador de carro elétrico. Jardim com irrigação automatizada. 3 vagas de garagem coberta. Este imóvel é perfeito para quem valoriza o design contemporâneo, a sustentabilidade e a praticidade no dia a dia. Localização privilegiada em bairro tranquilo e de fácil acesso."
R$ 550.000,Endereço não informado,"Vila Totoli, Franca","3 quartos
2 ban.
2 vagas","Maravilhoso Apartamento à Venda em Francasp. Com 114 m² de área útil, este apartamento moderno oferece acabamento impecável e um projeto arquitetônico pensado para seu conforto e praticidade. Características do imóvel. 3 quartos, sendo 1 suíte. 2 vagas de garagem separadas. Armários planejados completos. Box blindex até o teto. Ar-condicionado Samsung instalado. Projeto luminotécnico moderno. Papel de parede decorativo e chuveiros já instalados. Fechadura digital e olho mágico digital para segurança. Tela de proteção nas janelas. Ambientes espaçosos. Sala de tv. Sala de jantar. Sala de estar. Cozinha planejada. Lavanderia. Condomínio com lazer e segurança. Academia equipada. Salão de festas. Brinquedoteca. Salão de jogos. 2 elevadores. Portaria remota. Valor De R 650. 000 por R 550. 000"
R$ 1.490.000,Endereço não informado,"São Joaquim, Franca","300 m² tot.
4 quartos
3 ban.
5 vagas",Sobrado no bairro São Joaquim&#xD; &#xD; Imóvel será entregue com toda a parte de móveis planejados&#xD; 4 dormitórios sendo 3 suítes (2 suítes em baixo 1 suíte e 1 dormitório piso superior) &#xD; Dormitórios piso superior com sacada&#xD; Piso superior com salão para cinema com terraço &#xD; Cozinha e Sala de jantar &#xD; Banheiro social &#xD; Lavanderia &#xD; Sala ampla &#xD; 3 vagas de garagem coberta e 2 descobertas &#xD; Piscina ampla aquecida com cascata &#xD; Espaço gourmet com churrasqueira / balcão e banheiro&#xD; Fino acabamento&#xD; Aceita financiamento&#xD; Analisa permuta&#xD; &#xD; 300 m² de terreno &#xD; 265 m² de construção - 31/08/2025
R$ 380.000,Franca 2030,"Franca Pólo Club, Franca","125 m² tot.
2 quartos
2 ban.
2 vagas","2 quartos, 1 banheiro. Sala, cozinha e copa integradas. Lavanderia coberta. Garagem coberta para 2 carros. Acabamento de qualidade: porcelanato, pedras finas, Blindex. Segurança completa: câmeras, sensores, cerca e alarme. Jardim interno e externo, com telas mosqueteiras. Rua tranquila, sem vizinhos na frente. Projeto aprovado para sobrado. Infraestrutura para água quente. Imóvel quitado e iptu pago – pronto para morar"
R$ 2.200.000,Endereço não informado,"Franca, São Paulo","324 m² tot.
4 quartos
5 ban.
2 vagas","Casa à venda no Condomínio Olivito. &#xD; Projeto diferenciado, arquitetura moderna e encantadora! &#xD; 4 suítes amplas, todas com closet&#xD; Persianas integradas em todos os dormitórios&#xD; Ambientes integrados e espaçosos&#xD; Sala de estar ampla&#xD; Cozinha ampla com armário modulado, conceito aberto com a sala de jantar&#xD; Área Gourmet completa com armário modulado e churrasqueira a gás &#xD; Piscina aquecida com uma área de lazer super charmosa&#xD; Casa de máquinas&#xD; Paisagismo&#xD; Lavanderia&#xD; Aquecimento Solar&#xD; Acabamento de altíssimo padrão&#xD; Área construída de 206m² - 31/08/2025"
R$ 750.000,Endereço não informado,"Jardim Barão, Franca","221 m² tot.
3 quartos
2 ban.
3 vagas","casa À venda – santa adélia! Dimensões: Construção: 221, 18 m² Terreno: 270 m² Destaques do imóvel: 03 dormitórios com armários planejados, sendo 01 suíte. Acabamento fino e design elegante. Garagem coberta para 03 carros. Área de lazer completa: churrasqueira e 01 banheiro social no fundo. Imóvel modulado e pronto para morar! Perfeito para quem busca conforto, estilo e espaço. Entre em contato e agende sua visita agora mesmo!"
R$ 5.000.000,Franca 000,"Núcleo Agrícola Alpha, Franca","338 m² tot.
4 quartos
5 ban.
4 vagas","Ótima casa de condomínio à venda, localizada na cidade de Franca, no bairro Residencial Olivito. O imóvel tem 4 quartos, sendo 4 suítes, possui 5 banheiros, 2 salas e 4 vagas de garagem. Área total de 338m² e 304m² de área útil. Valor do imóvel: R$ 3. 800. 000, 00"
R$ 550.000,Endereço não informado,"São José, Franca","99999 m² tot.
1 banheiro","Sala São Jose sla comercial com aproximadamente 60 mts2, 1 banheiro, piso de ceramica, segundo andar, condominio fechado, enfrente a Hidromar."
R$ 1.150.000,Endereço não informado,"Franca, São Paulo","180 m² tot.
3 quartos
4 ban.
3 vagas",Lindo sobrado no bairro Primo Meneghetti ii&#xD; &#xD; - Terreno 180m2 &#xD; - Construção 190m2 &#xD; - Dois Pavimentos&#xD; - Piscina Aquecida (Hidromassagem/ Prainha / Led) &#xD; - Garagem 3 carros &#xD; - Área gourmet moderna com W. C&#xD; - Sala pé direito duplo ( 5m) &#xD; - 3 dormitórios sendo 2 suítes com closet e dois chuveiros em cada suite ( uma suite no térreo e a outra no superior) &#xD; - Banheiro Social interno&#xD; - Aquecimento solar Boiler 500 l &#xD; - Acabamentos / louças e metais todos em primeira linha &#xD; - Telhado cerâmico &#xD; - Casa toda em Porcelanato / Escada modelo cascata com vidros e corrimão &#xD; - Todos os postos de consumo de água com aquecimento em mono - comando com pressurização integrada&#xD; - Iluminação moderna em Led &#xD; - Portão Automático &#xD; - Casa com alarme e toda infraestrutura de câmera já executada - 31/08/2025
R$ 500.000,Avenida Lázaro de Souza Campos 971,"São José, Franca","159 m² tot.
3 quartos
2 ban.
2 vagas","03 dormitórios, sendo 1 suite. Sala de tv. Cozinha. 02 Vagas de Garagem. Terreno 159m² Construção 113m² Excelente Localização"
R$ 470.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de Tv e Jantar Integrados. Cozinha c/ Pé Direito Alto. Banheiro Social. Lavanderia Coberta. Vaga para 2 Carros. Jardinagem Pronta. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: dxojDicI1ouglwd7"
R$ 1.200.000,"venida Doutor Ismael Alonso Y. Alonso - Centro - Franca, SP","Centro, Franca","426 m² tot.
4 quartos
3 ban.","Apartamento Cobertura Duplex à Venda em Franca. Valor: R$ 1. 200. 000, 00. Descrição do Imóvel: Área Total: 426, 3 m² Área Privativa Coberta: 215, 5 m² Área Privativa Descoberta: 187, 84 m² 03 Suítes (02 com closet) 01 Quarto/Escritório. 01 Lavabo. Lavanderia. Armários Modulados em Todos os Cômodos. Elevador com Parada nos Dois Andares. Churrasqueira Privativa. Jacuzzi Exclusiva. Diferenciais: Impecável: Apenas 03 anos de uso. Cobertura Privativa: Toda a área superior do prédio é de uso exclusivo do apartamento. Localização Privilegiada: Próximo à Av. Alonso y Alonso, em área nobre de Franca-sp. Entre em contato e agende sua visita agora mesmo! (35) Ver dados"
R$ 610.000,Endereço não informado,"Parque Moema, Franca","155 m² tot.
3 quartos
3 ban.
2 vagas","Maravilho Duplex localizado no bairro Parque Moema. &#xD; Rico em planejados;&#xD; Sala de estar;&#xD; Sala de tv;&#xD; 3 dormitórios, sendo 1 suíte;&#xD; 2 banheiros sociais;&#xD; 2 cozinhas;&#xD; Área gourmet com churrasqueira e forno para pizzas;&#xD; Água quente (aquecimento com energia solar) ;&#xD; Lavanderia;&#xD; 2 vagas de garagem. &#xD; Excelente localização e de fácil acesso. - 31/08/2025"
R$ 370.000,Franca 900,"Jardim Consolação, Franca","49 m² tot.
2 quartos
1 banheiro
1 vaga","Apartamento mobiliado – centro, franca/sp. • 2 quartos, sendo 1 demisuíte. • Cozinha e área social integradas. • Recém reformado e mobiliado. • 1 vaga de garagem coberta + vaga rotativa para moto. • Condomínio: R$ 350, 00 (incluso água e gás) • Aceita financiamento. • Estuda Permuta"
R$ 340.000,Endereço não informado,"Jardim Três Colinas, Franca","69 m² tot.
2 quartos
2 ban.
1 vaga","Lindo apartamento no bairro Três Colinas! &#xD; &#xD; Excelente localização;&#xD; 2 dormitórios, sendo 1 suíte;&#xD; Dormitório de solteiro com guarda-roupas modulado;&#xD; Banheiros com armários e box nos chuveiros;&#xD; Sala com painel de tv;&#xD; Cozinha completa de armários;&#xD; Ilha com cooktop, coifa e forno;&#xD; Sacada com churrasqueira;&#xD; Lavanderia com armários; - 31/08/2025"
R$ 2.300.000,Endereço não informado,"Núcleo Agrícola Alpha, Franca","360 m² tot.
3 quartos
3 ban.
2 vagas","Maravilhosa residência em condomínio fechado &#xD; &#xD; Sala com pé direito alto, rica em iluminação e lustre, já com painel planejado. &#xD; &#xD; Porta com fechadura eletrônica &#xD; &#xD; Cozinha interna com torre de fornos, geladeira, lava louças e fogão de indução &#xD; &#xD; Granito no branco nanoglass&#xD; &#xD; Cozinha de jantar com iluminação e lustre &#xD; &#xD; Lavanderia ampla com duas bacias e armários&#xD; &#xD; Despensa já com armários&#xD; &#xD; Infra de aspiração de pó &#xD; &#xD; Irrigação automática de jardim&#xD; &#xD; Jardinagem com plantas já formadas &#xD; &#xD; Lavabo com lindo revestimento em pedras naturais&#xD; &#xD; Roupeiro planejado no corredor &#xD; &#xD; 3 suítes já com ar condicionado instalado &#xD; &#xD; Suíte master com closet e bancada dupla no wc&#xD; &#xD; Todos os wc com box instalados&#xD; &#xD; Janelas automáticas nos dormitórios&#xD; &#xD; Área gourmet com ilha, fogão marca Invitta, e mesa rústica acoplada na ilha&#xD; &#xD; Toldo automático entre piscina e área gourmet &#xD; &#xD; Piscina revestida na pedra hijau, com cascata e hidro&#xD; &#xD; Aquecimento solar&#xD; &#xD; Garagem para 2 carros coberta&#xD; &#xD; Ponto para carregamento carro elétrico&#xD; &#xD; Terreno com 360 metros&#xD; Área construída 216. 00 metros&#xD; &#xD; Entre em contato&#xD; João Paulo&#xD; 16 Ver dados - 31/08/2025"
R$ 1.500.000,Rua Joao Urias,"Parque Franville, Franca","500 m² tot.
4 quartos
4 ban.
4 vagas","Venha conhecer essa casa no bairro Parque Franville em Franca. São 500m² de terreno e 322m² de área construída, distribuídos com uma garagem coberta para 4 carros paralelos. - área goumet com balcão, pia, churrasqueira, forno de pizza e tv, com sistema de som independente; - piscina aquecida com bistrô molhado para você se refrescar. - são 4 dormitórios sendo 2 suítes, ambos com armários planejados; - salas de tv, estar e jantar. - escritório. - cozinha com armários planejados e dispensa. - lavanderia. - amplo quintal com área verde podendo ser revertido em garagem somando mais 4 carros;"
R$ 600.000,Endereço não informado,"Franca, São Paulo","140 m² tot.
3 quartos
1 banheiro
2 vagas","Vende-se residência nova, loteamento Quinta D´Oeste, Sala e cozinha pé direito alto, com sanca e iluminação decorativa, 3 dormitórios amplos, sendo 1 suíte com closet, Lavanderia coberta, Piscina com hidro e cascata, Garagem para 2 carros grandes. 200 mts de terreno, 140 mts de construção. Agende já sua visita. Entre em contato conosco: (16) Ver dados ou (16) Ver dados."
R$ 600.000,Rua Marechal Caxias 2729,"Prolongamento Vila Duque de Caxias, Franca","250 m² tot.
3 quartos
4 ban.
1 vaga","Terreno: 250 m² Área construída: 200 m² 3 dormitórios, sendo 2 Suítes. Cozinha com planejados. Garagem para 2 carros. Varanda com despensa"
R$ 3.000.000,Rua Batatais 1038,"Jardim São Vicente de Paula, Franca","695 m² tot.
14 ban.
4 vagas","Terreno com 695, 75m² Construção com 745m², divididas entre Térreo, 1º e 2º Andar. Térreo: 4 vagas de estacionamento. Hall de entrada com 2 Lavabos. 2 cozinhas. 17 salas (incluindo sala com Data Center e 3 estúdios com tratamento acústico) 6 banheiros. 1º Andar: 1 cozinha. 1 laboratório. 2 salas. 1 banheiro. 2º Andar: 1 cozinha. 1 sala ampla. 1 sala com sacada. 4 banheiros. Fácil acesso para Av. Antônio Barbosa Filho e Centro. Agende sua visita."
R$ 450.000,Endereço não informado,"Prolongamento Vila Duque de Caxias, Franca","207 m² tot.
3 quartos
1 banheiro
4 vagas","3 Dormitórios. Sala de tv e Estar. Cozinha com Armários. Banheiros Social. Comodo nos Fundos. Lavanderia Coberta. Vaga para 4 Carros. Excelente Localização. Próximo a Escola Pestalozzi. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 9j809K4oxLgWlcy9"
R$ 1.650.000,Endereço não informado,"Franca, São Paulo","275 m² tot.
3 quartos
3 ban.
3 vagas","Casa Espetacular à Venda no Santa Lúcia &#xD; &#xD; Venha conhecer essa residência única, com projeto exclusivo e fino acabamento! Ideal para quem busca conforto, sofisticação e tecnologia em um só lugar. &#xD; &#xD; Terreno de 275m² | Construção de 214m²&#xD; Estrutura Convencional com Pé-direito de 3, 8m na Sala e Cozinha&#xD; 3 Suítes Amplas (1 com Closet) &#xD; 3 Banheiros + 1 Lavabo&#xD; Piscina Aquecida com Cascata, Hidro e Iluminação Inteligente (App + Alexa) &#xD; Boiler 400L | Caixa dágua 1. 000L | Casa de máquina subterrânea&#xD; Deck&#xD; Lavanderia Ampla + Despensa + Cômodo de Despejo&#xD; Área Gourmet com Som Ambiente Automatizado&#xD; Garagem para 3 Carros com Estrutura para Carro Elétrico&#xD; Pré-instalação para Ar-condicionado nos Quartos e Sala&#xD; Aquecimento Solar | Jardinagem Completa&#xD; Segurança Total: Cerca Elétrica, Alarme e Câmeras (via App) &#xD; Portas da Formais | Esquadrias em Alumínio Linha Gold&#xD; Portão Automatizado com Iluminação&#xD; Pias em Granito Via Láctea&#xD; Porcelanato 1, 20x1, 20 em toda Casa&#xD; Metais de Alta Qualidade (Deca e Perflex) &#xD; Pintura Externa Emborrachada &#xD; Telhado com Estrutura Metálica&#xD; Analisamos Permuta! &#xD; Carro Terreno&#xD; &#xD; Agende sua visita&#xD; João Paulo&#xD; (16) Ver dados - 31/08/2025"
R$ 650.000,Endereço não informado,"Jardim Riviera, Franca","100 m² tot.
1 quarto
4 ban.","Vende-se Jardim Riveira - Comodo Comercial com Casa Cômodo Comercial - Otimo comodo comercial, mezanino, 2 banheiros, piso de cerâmica, 2 portas de enrolar e Casa com 1 dormitório sendo suíte, sala de tv, sala de jantar, cozinha com armário e churrasqueira na varanda, varanda ampla, box, 4 vagas, quintal cimentado/jardinado, lajotado, piso de cerâmica, pintura nova, portão eletrônico, terreno com 250mts2 e aprox 110mts2 de construção, imóveis de fino acabamento, agradável, excelente localização, próximo a Av. Adhemar Pereira de Barros."
R$ 690.000,Endereço não informado,"Jardim Califórnia, Franca","250 m² tot.
3 quartos
2 vagas","Casa com 3 dormitórios à venda, 145 m² por R$ 690. 000 - Jardim Califórnia - Franca/sp&#xD; 3 quartos sendo uma suite com hidromassagem &#xD; 3 banheiros uma suite um social e um na area de lazer - 31/08/2025"
R$ 2.490.000,Avenida dos Sapateiros Lote,"Parque Universitário, Franca","380 m² tot.
3 quartos
5 ban.
3 vagas","Casa moderna, automatizada E tecnológica. À venda no condomínio villa di capri francasp. Descubra o verdadeiro significado de viver com conforto, segurança e inovação. Esta residência de alto padrão está localizada no desejado Condomínio Villa di Capri, e reúne tudo o que sua família merece. Terreno 380m² Área construída 245m² 3 amplas suítes. Living integrado com pé direito duplo. Automação residencial completa. Caixas de som Bluetooth integradas. Cozinha planejada e espaço gourmet. Jacuzzi exclusiva para momentos de relaxamento. Garagem para 3 veículos. Condomínio com segurança 24h. Valor do condomínio R 520, 00mês"
R$ 411.600,Endereço não informado,"Residencial Amazonas, Franca","51 m² tot.
1 quarto
1 banheiro
1 vaga","O Studio Amazonas Home Club possui ambientes integrados com metragens de 40m² até 51m², para quem busca mais praticidade sem abrir mão do conforto no dia a dia. &#xD; O grande diferencial de seu projeto é a área de lazer completíssima com mais de vinte itens. &#xD; &#xD; - Studios com fechadura biométrica;&#xD; - 4 Pub´s temáticos;&#xD; - Wifi nas áreas de lazer;&#xD; - Piscina com deck molhado;&#xD; - Mercado Honesto;&#xD; - Espaço Spa;&#xD; - Salão de jogos;&#xD; - Laundry;&#xD; - Espaço Coworking;&#xD; - Sala de estudos;&#xD; - Espaço fitness com tatame;&#xD; - Salão de festas;&#xD; - Bike Sharing;&#xD; - Sala de ferramentas;&#xD; - Ambientes com artes personalizadas;&#xD; - Espaço Zen;&#xD; - Horta Compartilhada;&#xD; - Pet Place;&#xD; - 4 elevadores;&#xD; - 1 vaga de garagem. &#xD; Inovação, praticidade e inteligência de espaços! &#xD; &#xD; *Sujeito à alteração do valor de venda. - 31/08/2025"
R$ 420.000,Endereço não informado,"Vila Santa Maria do Carmo, Franca","250 m² tot.
3 quartos
2 ban.
4 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar. Cozinha com Copa. Banheiros Social. Lavanderia Coberta. Garagem para 4 Carros. Varanda nos Fundos. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 4vfgSlil10tEnWk0"
R$ 380.000,Endereço não informado,"Franca, São Paulo","100 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de Tv e Jantar Integrados. Cozinha em Ilha. Banheiro Social. Lavanderia Coberta. Vaga para 2 Carros. Área Gourmet Moderna. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: sZ0wpyyoC9oyhwww"
R$ 420.000,Endereço não informado,"Vila Santa Maria do Carmo, Franca","250 m² tot.
3 quartos
2 ban.
4 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar. Cozinha com Copa. Banheiros Social. Lavanderia Coberta. Garagem para 4 Carros. Varanda nos Fundos. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 4vfgSlil10tEnWk0"
R$ 160.000,Endereço não informado,"Jardim Luiza II, Franca","52 m² tot.
2 quartos
1 banheiro
1 vaga","2 Dormitórios. Sala de tv. Cozinha. Banheiro. Lavanderia. Garagem para 1 Carro. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: Kynz9I3mE3erkOoi"
